Hotel Name,Review,Number of Reviews,Review Score,City
Swissôtel Al Ghurair Dubai,8.1,"8,317 reviews",8.1,
DoubleTree by Hilton Dubai Al Jadaf,Very good,"3,330 reviews",8.1,
Lux BnB 1BD The Greens Parking Pool Gym,8.1,5 reviews,7.2,
DoubleTree by Hilton Hotel and Residences Dubai – Al Barsha,Very good,"1,702 reviews",7.3,
ESAW Holidays Home,7.2,1 review,7.0,
"Holiday Inn Express Dubai Internet City, an IHG Hotel",Good,"3,789 reviews",8.2,
JA Beach Hotel (JA The Resort),7.3,"2,084 reviews",8.1,
VACATION STAY near ADCB METRO & SHARAF DG METRO Stations,Good,88 reviews,6.0,
Aloft Dubai Airport,7.0,"3,312 reviews",8.3,
Studio M Arabian Plaza Hotel & Hotel Apartments,Good,"8,297 reviews",8.3,
Superb Studio in Luma 21-JVC,8.2,"6,407 reviews",8.1,
GuestReady - Sunny Delights,Very good,"2,683 reviews",8.4,
Grand Mercure Dubai,8.1,"7,668 reviews",8.1,
Aloft Dubai Creek,Very good,"5,662 reviews",7.6,
Cozy & Spacious 3 bed apt in Dubai,6.0,"3,461 reviews",8.2,
Hyatt Regency Creek Heights Residences,Review score,"1,656 reviews",7.0,
Premier Inn Dubai Dragon Mart,8.3,"4,965 reviews",8.3,
The S Hotel Al Barsha,Very good,"1,009 reviews",8.0,
KSK Homes Hotel Dubai Academic City,8.3,284 reviews,7.1,
JA Ocean View Hotel,Very good,"1,358 reviews",8.5,
"Staybridge Suites Dubai Al-Maktoum Airport, an IHG Hotel",8.1,"2,711 reviews",8.5,
eStay Inn Hotel,Very good,"1,355 reviews",7.9,
York International Hotel,4.0,"4,259 reviews",4.0,
JA Lake View Hotel (JA The Resort),Review score,"1,065 reviews",8.6,
Jumeirah Emirates Towers,8.6,"3,919 reviews",9.0,
Mövenpick Grand Al Bustan,Fabulous,"4,405 reviews",7.4,
LHG ADDRESS BEACH Residence,9.0,6 reviews,4.8,
Excelsior Hotel Downtown,Superb,"2,184 reviews",7.8,
Hyatt Centric Jumeirah Dubai,7.4,"1,086 reviews",8.6,
MK Residence by Be Our Guest,Good,237 reviews,6.9,
Al Khaleej Palace Deira Hotel,4.8,"1,243 reviews",6.9,
CitiHome-3BR Marina with private beach,Review score,5 reviews,10,
MH- Cozy 2 BHK Canal View ref-25016,7.8,485 reviews,8.5,
Kasco Homes - Waves Tower Business Bay,Good,121 reviews,8.8,
GOODWOOD SUITES HOMES VACATION,8.6,3 reviews,7.3,
Dream House Hostel G06 P-08,Fabulous,"4,370 reviews",8.0,
Park Regis Business Bay,6.9,"1,268 reviews",8.6,
City Seasons Suites,Review score,1 review,10,
Super Studio By Salman,6.9,"3,421 reviews",8.5,
Sofitel Dubai The Palm Resort & Spa,Review score,711 reviews,7.8,
Fortune Park Hotel,10,"1,590 reviews",8.9,
"Zabeel House by Jumeirah, The Greens",Exceptional,"8,730 reviews",8.4,
Paramount Hotel Dubai,8.5,"1,381 reviews",9.1,
Raffles The Palm,Very good,"3,105 reviews",9.0,
Edge Creekside Hotel,8.8,1 review,10,
LuxBnB Studio Suite Business Bay,Fabulous,"4,120 reviews",6.6,
"Deluxe Studio Address Dubai Mall ""The Residence""",8.8,83 reviews,8.8,
"29 Boulevard contemporary & spacious apartment, Burj & Fountain View",Fabulous,19 reviews,9.0,
New Apartments by GLOBALSTAY in Business Bay Free parking,9.0,181 reviews,7.8,
Burj Khalifa & Fountain Downtown Views Ultima Vacation Homes,Superb,11 reviews,9.1,
"Elegant, stylish and luxurious 2 bed",7.8,12 reviews,9.6,
Amazing View I 1min Walk to Marina Mall I Close to Beach,Good,"2,434 reviews",8.1,
"GLOBALSTAY Holiday Homes - Sarai Apartments, Beach, Pool, Gym",9.1,774 reviews,8.5,
Beach Walk Boutique Jumeirah,Superb,231 reviews,6.3,
Three 888 Hotel,9.6,"2,016 reviews",8.0,
"Radisson Blu Residence, Dubai Marina",Exceptional,"2,497 reviews",8.0,
STAY Perfect 1BR Holiday Home near Burj Khalifa,8.1,"2,767 reviews",7.6,
Hyatt Place Dubai Baniyas Square,Very good,"1,753 reviews",8.5,
"The Apartments, Dubai World Trade Centre Hotel Apartments",8.5,"2,610 reviews",7.7,
Four Points by Sheraton Bur Dubai,Very good,"1,746 reviews",8.4,
Majestic City Retreat Hotel,6.3,"3,185 reviews",8.2,
TIME Oak Hotel & Suites,Review score,"6,712 reviews",8.2,
Hampton By Hilton Dubai Al Barsha,8.0,234 reviews,4.9,
The Retreat Palm Dubai MGallery by Sofitel,Very good,"2,249 reviews",7.8,
Abu Hail Star Residence - Home Stay,8.0,"8,058 reviews",8.4,
Hyatt Place Dubai Al Rigga Residences,Very good,"8,011 reviews",8.6,
Premier Inn Dubai Al Jaddaf,7.6,15 reviews,7.7,
Golden Tulip Media Hotel,Good,"3,062 reviews",8.4,
ABIDOS HOLIDAY HOMES Windsor Residence,8.5,"4,396 reviews",8.7,
RAF Hotel Apartments,7.2,588 reviews,7.2,
Flora Al Barsha Hotel At The Mall,Good,"8,647 reviews",8.3,
The H Dubai,8.3,"1,841 reviews",8.0,
Grand Plaza Mövenpick,Very good,"3,336 reviews",9.0,
Staycae - Emaar Beach Isle,8.0,"1,780 reviews",6.2,
Ramee Rose Hotel,Very good,48 reviews,7.3,
Cube Hotel Dubai formerly Al Buraq Hotel Al Ras,9.0,"1,449 reviews",8.2,
"Crowne Plaza - Dubai Jumeirah, an IHG Hotel",Superb,"1,424 reviews",8.6,
"Arabian Park Dubai, an Edge by Rotana Hotel",6.2,"1,651 reviews",6.9,
Chelsea Plaza Hotel,Review score,2 reviews,5.5,
Mazin Building,7.3,"3,584 reviews",8.4,
The Manor By JA,Good,563 reviews,4.9,
Warsan Star Residence - Home Stay,8.2,"8,298 reviews",8.1,
Premier Inn Dubai Ibn Battuta Mall,Very good,"3,289 reviews",8.6,
Key View - Manchester Tower,8.6,"3,595 reviews",8.8,
JW Marriott Marquis Hotel Dubai,Fabulous,"3,012 reviews",8.3,
Jumeirah Creekside Hotel,6.9,"2,284 reviews",7.1,
Towers Rotana - Dubai,Review score,877 reviews,7.8,
Ramada Plaza by Wyndham Dubai Deira,5.5,"1,621 reviews",9.0,
Avani Deira Dubai Hotel,Review score,6 reviews,7.5,
Hilton Dubai Palm Jumeirah,8.4,"1,287 reviews",7.6,
Villa 29 Suite B - Vacation Home,Very good,1 review,10,
"Holiday Inn Dubai Al Barsha, an IHG Hotel",4.9,"38,331 reviews",9.1,
NoMad London,9.2,822 reviews,9.2,
Sonder Camden Road,Superb,"1,332 reviews",7.9,
Arosfa Hotel London by Compass Hospitality,7.9,"1,184 reviews",7.9,
"The May Fair, A Radisson Collection Hotel, Mayfair London",Good,"4,132 reviews",8.1,
Royal Lancaster London,7.9,"5,132 reviews",9.0,
Zedwell Greenwich,Good,54 reviews,7.0,
"Maldron Hotel Finsbury Park, London",8.1,416 reviews,8.4,
"Holiday Inn Express London Chingford, an IHG Hotel",Very good,"2,677 reviews",7.1,
"The Westminster London, Curio Collection by Hilton",9.0,"5,346 reviews",8.3,
"100 Queen’s Gate Hotel London, Curio Collection by Hilton",Superb,"2,919 reviews",7.8,
White House Hotel,7.0,"3,693 reviews",6.8,
"Radisson Blu Edwardian New Providence Wharf Hotel, London",Good,"5,914 reviews",8.8,
Zedwell Underground Tottenham Court Rd,8.4,"1,261 reviews",6.5,
Hyatt Regency London Stratford,Very good,"2,376 reviews",8.3,
The Piccadilly London West End,7.1,"5,016 reviews",8.0,
Hilton London Metropole,Good,"2,787 reviews",7.5,
Argo Hotel - Kings Cross,8.3,350 reviews,7.8,
Courtyard by Marriott London City Airport,Very good,"2,838 reviews",8.6,
Alexandra Hotel,7.8,"4,831 reviews",7.1,
Tavistock Hotel,Good,"2,585 reviews",7.5,
Britannia International Hotel Canary Wharf,6.8,"18,025 reviews",5.7,
Leonardo Royal London St Paul’s,Review score,"7,865 reviews",8.5,
Hilton London Olympia,8.8,"2,419 reviews",7.0,
Montcalm Royal London House-City of London,Fabulous,"9,144 reviews",8.3,
St George's Hotel - Wembley,6.5,"4,066 reviews",7.2,
DoubleTree by Hilton Hotel London - Tower of London,Review score,"10,952 reviews",7.6,
Moxy London Stratford,8.2,"4,210 reviews",8.2,
The Z Hotel Trafalgar,Very good,"11,697 reviews",8.4,
DoubleTree by Hilton London Victoria,8.4,"2,995 reviews",7.7,
Signature Townhouse London Hyde Park,Very good,"4,648 reviews",7.0,
Langham Court Hotel,7.7,"2,785 reviews",7.1,
Hilton London Bankside,Good,"2,699 reviews",8.9,
London Hilton on Park Lane,7.0,"1,356 reviews",7.8,
Homefield Lodge,Good,294 reviews,8.0,
NOX Waterloo,7.1,"7,318 reviews",8.2,
Argyle Square Hotel,Good,"1,296 reviews",6.9,
Doubletree By Hilton London - Greenwich,8.9,"2,710 reviews",8.2,
"Holiday Inn Express London Greenwich, an IHG Hotel",Fabulous,"6,529 reviews",7.8,
The Montcalm At Brewery London City,7.8,"4,003 reviews",6.9,
Marlin Waterloo,Good,"8,375 reviews",8.0,
The BoTree - Preferred Hotels and Resorts,8.0,20 reviews,9.8,
Hotel Saint London,Very good,"2,027 reviews",8.4,
"Radisson Blu Edwardian Vanderbilt Hotel, London",8.2,"2,733 reviews",7.7,
The Collective Canary Wharf,Very good,"1,511 reviews",7.3,
Riu Plaza London Victoria,6.9,"1,711 reviews",8.1,
DoubleTree by Hilton London – West End,Review score,"2,741 reviews",7.1,
"Holiday Inn Express London - ExCel, an IHG Hotel",8.2,"4,781 reviews",8.1,
39 Studios,Very good,"2,203 reviews",7.5,
THE KNIGHT OF NOTTINGHILL,7.8,4 reviews,7.0,
President Hotel,Good,"1,928 reviews",7.3,
The Chilworth London Paddington,6.9,"7,717 reviews",7.6,
Hilton London Kensington Hotel,6.9,"3,504 reviews",6.9,
Hampton By Hilton London City,Review score,706 reviews,8.5,
Pestana Chelsea Bridge Hotel,8.5,"3,860 reviews",8.2,
citizenM Tower of London,Very good,"6,489 reviews",8.6,
"Holiday Inn Express London - Wandsworth, an IHG Hotel",8.2,"3,460 reviews",7.7,
The Barbican Rooms,Very good,"3,753 reviews",7.5,
"Crowne Plaza London Kings Cross, an IHG Hotel",8.6,"3,518 reviews",7.5,
The Dilly,Fabulous,"3,390 reviews",8.0,
Park Avenue Bayswater Inn Hyde Park,7.7,"2,849 reviews",7.3,
Best Western Northfields Ealing Hotel,Good,"2,208 reviews",8.1,
Park Plaza London Riverbank,7.5,"11,010 reviews",8.1,
Hampton by Hilton London Park Royal,Good,"3,408 reviews",8.2,
Dorsett Shepherds Bush London,7.5,"4,335 reviews",7.8,
Clayton Hotel Chiswick,Good,"4,010 reviews",8.4,
Clayton Hotel London Wall,8.0,802 reviews,8.9,
Sidney Hotel London-Victoria,Very good,"10,615 reviews",7.8,
Park Avenue J Hotel London Hyde Park,7.3,"4,265 reviews",7.2,
DoubleTree by Hilton London Chelsea,Good,"2,150 reviews",7.9,
citizenM London Victoria Station,8.1,"3,012 reviews",8.9,
ME London by Melia,Very good,"1,524 reviews",8.5,
Millennium & Copthorne Hotels at Chelsea Football Club,8.1,"4,739 reviews",7.8,
TRIBE London Canary Wharf,Very good,"2,298 reviews",8.4,
Heeton Concept Hotel – Luma Hammersmith,8.2,"2,876 reviews",7.8,
The Ampersand Hotel,Very good,"2,554 reviews",8.9,
Ivy House Hotel,7.8,178 reviews,6.0,
Royal Park Hotel,7.0,"2,687 reviews",7.0,
Strathmore Hotel,Good,"2,529 reviews",7.5,
"Queensway Hotel, Sure Hotel Collection by Best Western",7.5,"1,704 reviews",6.8,
citizenM London Shoreditch,Good,"2,894 reviews",8.7,
Nobu Hotel London Portman Square,6.8,"1,452 reviews",8.6,
Park Grand London Kensington,Review score,"8,709 reviews",8.0,
DoubleTree by Hilton London – Docklands Riverside,8.7,"6,001 reviews",7.9,
The Crescent Hyde Park,Fabulous,"1,597 reviews",8.0,
The Brent Hotel - London - Wembley and Harrow,8.6,208 reviews,7.9,
DoubleTree by Hilton London Ealing,Fabulous,"1,815 reviews",7.7,
Park Grand London Hyde Park,8.0,"5,280 reviews",6.9,
Park Plaza Westminster Bridge London,Very good,"20,847 reviews",8.3,
Moxy London Excel,7.9,"3,093 reviews",8.2,
Hilton London Euston,Good,"1,973 reviews",7.2,
The Z Hotel Holborn,8.0,"13,907 reviews",8.1,
The Mandeville Hotel,Very good,"3,075 reviews",8.1,
"The Tower Hotel, London",7.9,"18,563 reviews",7.8,
"Park Plaza London, Park Royal",Good,"7,979 reviews",8.4,
Ambassadors Bloomsbury,7.7,"1,755 reviews",6.9,
Mornington Hotel London Victoria,Good,"1,143 reviews",7.6,
DoubleTree By Hilton London Excel,6.9,"3,784 reviews",7.9,
The Beverley House Hotel,Review score,"1,919 reviews",7.3,
Ruby Zoe Hotel London,8.3,308 reviews,8.8,
Clayton Hotel City of London,Very good,"4,582 reviews",8.6,
The Londoner,8.2,"3,760 reviews",9.0,
Ember Locke,8.9,108 reviews,8.9,
The Sanctuary House Hotel,Fabulous,"2,163 reviews",8.6,
"Inhabit, Southwick Street",8.6,"5,214 reviews",8.0,
Apex Temple Court Hotel,Fabulous,"3,237 reviews",8.9,
Commodore Hotel,8.0,"2,682 reviews",7.6,
"Holiday Inn Express London-Hammersmith, an IHG Hotel",Very good,"6,209 reviews",8.0,
Zedwell Piccadilly Circus,8.9,"28,832 reviews",7.5,
Doubletree By Hilton London Kensington,Fabulous,"2,706 reviews",7.3,
Ruby Lucy Hotel London,7.6,"2,346 reviews",8.8,
Strand Palace Hotel,Good,"12,276 reviews",8.1,
Grange Buckingham Hotel,8.0,450 reviews,7.6,
Hilton London Wembley,Very good,"5,877 reviews",8.5,
The Lodge Hotel - Putney,7.5,"2,284 reviews",8.5,
Best Western Mornington Hotel Hyde Park,Good,"3,000 reviews",7.3,
"Radisson Blu Edwardian Hampshire Hotel, London",7.3,"3,594 reviews",8.4,
Fountain Hotel,Good,"1,174 reviews",7.2,
"The Hoxton, Shepherds Bush",8.8,"1,053 reviews",8.7,
Grand Royale London Hyde Park,Fabulous,"7,314 reviews",6.9,
New Road Hotel,8.1,"2,815 reviews",7.9,
The Standard London,Very good,"2,230 reviews",8.6,
198 Studios,7.6,712 reviews,8.1,
Hilton London Angel Islington,Good,"2,323 reviews",8.0,
ibis London City - Shoreditch,8.5,"6,044 reviews",7.9,
The Beaufort,Very good,"1,727 reviews",7.3,
Fitzrovia Hotel,8.5,"3,447 reviews",7.8,
Rubens At The Palace,8.6,"4,017 reviews",8.6,
Best Western Plus Vauxhall Hotel,Fabulous,"1,180 reviews",7.2,
The Z Hotel Victoria,7.2,"7,718 reviews",7.8,
Park Grand Paddington Court,Good,"5,568 reviews",6.9,
CG Kensington,7.8,"1,892 reviews",8.2,
"Holiday Inn London West, an IHG Hotel",Good,"3,057 reviews",7.9,
ibis London Earls Court,6.9,"6,521 reviews",7.4,
London Marriott Hotel Kensington,Review score,710 reviews,8.2,
Hotel 55,8.2,"2,873 reviews",8.0,
Merit Kensington Hotel,Very good,"4,961 reviews",8.1,
Apex City Of London Hotel,7.9,"1,985 reviews",8.8,
"London Chigwell Prince Regent Hotel, BW Signature Collection",Good,"1,423 reviews",6.7,
The Grand at Trafalgar Square,7.4,"3,951 reviews",8.1,
"The Cumberland, London",Good,"1,272 reviews",8.1,
Alhambra Hotel,8.2,"3,134 reviews",7.6,
"The Rathbone Hotel, Fitzrovia",Very good,"1,197 reviews",8.5,
ibis London Shepherds Bush - Hammersmith,8.0,"2,073 reviews",7.9,
Seraphine Hammersmith Hotel,Very good,"1,541 reviews",7.8,
Aloft London Excel,8.1,"3,998 reviews",8.3,
Messina Studios,Very good,903 reviews,7.5,
Hilton London Paddington,8.8,"3,389 reviews",7.4,
"Holiday Inn London Kensington High St., an IHG Hotel",Fabulous,"8,974 reviews",7.1,
"The Hoxton, Southwark",6.7,"2,021 reviews",8.7,
"St. James' Court, A Taj Hotel, London",Review score,"4,355 reviews",8.6,
146 Studios,8.1,"2,225 reviews",7.5,
Elysee Hyde Park,7.3,421 reviews,7.3,
Americana Hotel,Good,835 reviews,7.0,
The Z Hotel Strand,7.0,"9,609 reviews",8.5,
Copthorne Tara Hotel London Kensington,Good,"9,808 reviews",6.9,
Hampton by Hilton London Waterloo,8.5,"5,573 reviews",8.2,
ibis London Stratford,Very good,"2,738 reviews",7.8,
"The Gantry London, Curio Collection By Hilton",6.9,"2,589 reviews",8.7,
Hilton London Canary Wharf,Review score,"3,742 reviews",8.6,
"Shangri-La The Shard, London",8.2,"3,136 reviews",9.0,
The Queens Gate Hotel,Very good,"2,097 reviews",8.3,
One Hundred Shoreditch,7.8,"4,493 reviews",8.7,
Best Western Corona Hotel,Good,"2,311 reviews",7.2,
"Holiday Inn Express Royal Docks, an IHG Hotel",8.7,"3,930 reviews",7.7,
Best Western Swiss Cottage Hotel,Fabulous,"1,981 reviews",7.9,
The Cleveland,8.6,"2,226 reviews",8.2,
Leigh House Hotel,Fabulous,"1,320 reviews",7.4,
Queens Park Premier London Hyde Park,9.0,20 reviews,7.4,
The Cavendish London,Superb,"2,592 reviews",8.1,
Hyatt Regency London Albert Embankment,8.3,"1,066 reviews",8.5,
NOX Kensington,Very good,"2,256 reviews",7.4,
Apollo Hotel Kings Cross,8.7,"1,173 reviews",5.8,
"The Trafalgar St. James, London Curio collection by Hilton",Fabulous,"1,177 reviews",8.9,
"Hotel Indigo London Hyde Park Paddington, an IHG Hotel",7.2,678 reviews,7.4,
Victory House Leicester Square,Good,"2,931 reviews",8.0,
Hyatt Regency London - The Churchill,7.7,"1,751 reviews",8.5,
Citadines Holborn - Covent Garden London,7.7,"1,841 reviews",7.7,
DoubleTree by Hilton London - Hyde Park,Good,"2,301 reviews",7.6,
The Z Hotel Tottenham Court Road,7.6,"8,469 reviews",8.0,
Keystone House,Good,"3,158 reviews",7.9,
Andaz London Liverpool Street - a Concept by Hyatt,8.0,804 reviews,8.7,
London Marriott Hotel Marble Arch,Very good,"1,211 reviews",7.6,
Mercure London Bloomsbury Hotel,7.9,"1,344 reviews",7.3,
The Westbridge Hotel Stratford,Good,"4,657 reviews",8.2,
"Holiday Inn London Bloomsbury, an IHG Hotel",8.7,"2,832 reviews",7.9,
1 Hotel Mayfair,Fabulous,73 reviews,8.9,
Town Hall Hotel - Shoreditch,7.6,"1,003 reviews",8.2,
DoubleTree by Hilton Hotel London - Marble Arch,Good,667 reviews,7.2,
"Club Quarters Hotel London City, London",7.3,"3,971 reviews",7.3,
Regency Hotel Parkside,Good,"1,323 reviews",8.0,
Goodwood Hotel,8.2,"1,828 reviews",5.0,
Flexistay Norbury Aparthotel,Very good,386 reviews,6.9,
Leonardo Royal London Tower Bridge,7.9,"11,635 reviews",8.1,
The Waldorf Hilton,Good,"2,084 reviews",7.8,
Sanderson London,8.9,"1,843 reviews",8.3,
Cromwell International Hotel,Fabulous,"5,948 reviews",4.6,
Park Plaza London Waterloo,8.2,"8,729 reviews",8.2,
Snoozebox Olympic Park,Very good,"6,848 reviews",8.0,
Leonardo Royal Hotel London City - Tower of London,7.2,"4,656 reviews",8.3,
